"","mem_point_","mem_point1","new_transe","new_tran_1","new_tran_2","new_tran_3","new_tran_4","new_tran_5","X","Y","elevation","elev_units","coords.x1","coords.x2","optional"
"1129",11,0.18,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.384975083,44.1995597401,1485.35,"meters",-118.384975083085,44.1995597400811,TRUE
"1130",11,0.19,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.38327731,44.2088285337,1443.73,"meters",-118.383277309685,44.2088285337203,TRUE
"1131",11,0.2,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.381578824,44.218097456,1451.74,"meters",-118.381578823662,44.2180974559619,TRUE
"1132",11,0.21,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.379879616,44.2273665063,1537.45,"meters",-118.379879616021,44.2273665062958,TRUE
"1133",11,0.22,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.378179691,44.2366356855,1636.56,"meters",-118.378179691267,44.2366356854759,TRUE
"1134",11,0.23,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.376479052,44.245904994,1711.07,"meters",-118.376479051665,44.2459049940467,TRUE
"1135",11,0.24,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.374777696,44.2551744323,1672.04,"meters",-118.374777696486,44.2551744322726,TRUE
"1136",11,0.25,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.373075625,44.2644440004,1693.76,"meters",-118.373075625,44.2644440004183,TRUE
"1137",11,0.26,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.371372836,44.2737136987,1754.65,"meters",-118.371372836476,44.2737136987484,TRUE
"1138",11,0.27,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.36966933,44.2829835275,1763,"meters",-118.369669330185,44.2829835275278,TRUE
"1139",11,0.28,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.367965105,44.292253487,1852.13,"meters",-118.367965105394,44.2922534870213,TRUE
"1140",11,0.29,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.366260161,44.3015235775,1837.83,"meters",-118.366260161371,44.3015235774938,TRUE
"1141",11,0.3,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.364554497,44.3107937992,1910.09,"meters",-118.364554497382,44.3107937992107,TRUE
"1142",11,0.31,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.362848113,44.3200641524,1934.2,"meters",-118.362848112695,44.3200641524369,TRUE
"1143",11,0.32,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.361141007,44.3293346374,2065.27,"meters",-118.361141006573,44.329334637438,TRUE
"1144",11,0.33,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.359433178,44.3386052545,2153.52,"meters",-118.359433178283,44.3386052544791,TRUE
"1145",11,0.34,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.357724627,44.3478760038,2170.7,"meters",-118.357724627088,44.347876003826,TRUE
